county,year,unemployment_rate,laborforce_sum,unemployment_sum
CERRO GORDO,2006,3.908,314350,12250
CERRO GORDO,2007,3.925,309340,12140
CERRO GORDO,2008,4.708,310360,14590
CERRO GORDO,2009,7.025,306700,21510
CERRO GORDO,2010,6.917,294440,20370
CERRO GORDO,2011,6.175,291380,18030
CERRO GORDO,2012,5.550,286000,15870
CERRO GORDO,2013,5.392,280790,15160
CERRO GORDO,2014,4.658,279380,13040
CERRO GORDO,2015,3.925,276740,10860
CERRO GORDO,2016,3.608,279430,10080
CERRO GORDO,2017,3.092,279770,8600
CERRO GORDO,2018,2.683,281170,7570
CERRO GORDO,2019,2.692,285230,7680
CERRO GORDO,2020,5.167,275280,14210
CERRO GORDO,2021,3.975,268770,10700
CERRO GORDO,2022,2.900,265120,7730
CERRO GORDO,2023,3.083,264790,8180
CERRO GORDO,2024,2.933,266420,7800
CERRO GORDO,2025,3.482,248850,8660
CHEROKEE,2000,2.358,83690,1970
CHEROKEE,2001,2.967,86680,2580
CHEROKEE,2002,4.100,83300,3410
CHEROKEE,2003,4.167,80790,3360
CHEROKEE,2004,4.383,78880,3460
CHEROKEE,2005,4.717,79060,3740
CHEROKEE,2006,4.142,78930,3270
CHEROKEE,2007,3.642,79900,2900
CHEROKEE,2008,3.467,78410,2720
CHEROKEE,2009,4.633,79340,3680
CHEROKEE,2010,4.550,84950,3890
CHEROKEE,2011,4.792,83640,4000
CHEROKEE,2012,4.300,82690,3580
CHEROKEE,2013,4.292,82330,3530
CHEROKEE,2014,5.108,79750,4080
CHEROKEE,2015,5.117,76260,3910
CHEROKEE,2016,3.442,79740,2760
CHEROKEE,2017,2.408,76510,1840
CHEROKEE,2018,2.092,76110,1580
CHEROKEE,2019,2.342,78610,1840
CHEROKEE,2020,3.533,77940,2740
CHEROKEE,2021,2.950,77230,2280
CHEROKEE,2022,2.267,76850,1760
CHEROKEE,2023,2.325,77500,1820
CHEROKEE,2024,2.267,77480,1770
CHEROKEE,2025,2.782,70760,1960
CHICKASAW,2000,6.383,82690,5310
CHICKASAW,2001,6.250,80610,5050
CHICKASAW,2002,5.425,77720,4210
CHICKASAW,2003,6.067,75520,4580
CHICKASAW,2004,5.950,73510,4370
CHICKASAW,2005,5.317,74990,3980
CHICKASAW,2006,4.500,77720,3490
CHICKASAW,2007,4.175,78800,3310
CHICKASAW,2008,4.825,83180,4040
CHICKASAW,2009,8.950,83550,7520
CHICKASAW,2010,7.550,78640,5950
CHICKASAW,2011,6.333,78290,4960
CHICKASAW,2012,5.175,75900,3930
CHICKASAW,2013,4.983,76600,3810
CHICKASAW,2014,4.775,77920,3720
CHICKASAW,2015,4.475,77670,3470
CHICKASAW,2016,4.025,84300,3410
CHICKASAW,2017,2.908,83200,2410
CHICKASAW,2018,2.525,84100,2120
CHICKASAW,2019,2.567,85130,2160
CHICKASAW,2020,4.217,81030,3420
CHICKASAW,2021,3.042,82370,2500
CHICKASAW,2022,2.408,84030,2020
CHICKASAW,2023,2.325,85100,1970
CHICKASAW,2024,2.575,85070,2190
CHICKASAW,2025,2.982,78770,2370
CLARKE,2000,3.167,58620,1850
CLARKE,2001,4.067,59850,2420
CLARKE,2002,5.317,60030,3190
CLARKE,2003,8.042,58490,4720
CLARKE,2004,6.350,56310,3600
CLARKE,2005,5.208,55840,2920
CLARKE,2006,4.075,57090,2350
CLARKE,2007,4.158,58210,2440
CLARKE,2008,4.542,59240,2680
CLARKE,2009,7.700,59260,4570
CLARKE,2010,7.758,57370,4450
CLARKE,2011,7.083,56530,4000
CLARKE,2012,5.983,55610,3320
CLARKE,2013,5.483,55180,3050
CLARKE,2014,4.500,56270,2520
CLARKE,2015,4.067,57350,2350
CLARKE,2016,3.383,57580,1940
CLARKE,2017,3.092,57040,1790
CLARKE,2018,2.883,57740,1680
CLARKE,2019,2.817,58800,1660
CLARKE,2020,5.275,56560,2970
CLARKE,2021,3.925,58320,2300
CLARKE,2022,3.033,58810,1800
CLARKE,2023,2.875,59750,1720
CLARKE,2024,2.783,60350,1710
CLARKE,2025,3.209,57600,1860
CLAY,2000,2.475,119690,2950
CLAY,2001,3.125,117350,3700
CLAY,2002,3.817,117070,4490
CLAY,2003,4.167,117290,4890
CLAY,2004,3.958,114840,4570
CLAY,2005,4.008,114120,4570
CLAY,2006,3.300,117410,3890
CLAY,2007,3.150,117660,3680
CLAY,2008,3.367,117470,3960
CLAY,2009,6.883,115010,7940
CLAY,2010,5.942,112050,6630
CLAY,2011,5.492,111590,6140
CLAY,2012,5.025,107130,5400
CLAY,2013,4.500,106070,4790
CLAY,2014,4.192,107560,4520
CLAY,2015,3.592,106460,3830
CLAY,2016,3.750,108610,4070
CLAY,2017,3.600,106450,3840
CLAY,2018,3.208,106400,3410
CLAY,2019,2.642,106300,2800
CLAY,2020,4.300,103140,4440
CLAY,2021,3.300,104910,3470
CLAY,2022,2.725,105510,2880
CLAY,2023,2.800,106280,2980
CLAY,2024,3.217,105590,3400
CLAY,2025,3.318,97180,3240
CLAYTON,2000,3.442,122960,4230
CLAYTON,2001,4.650,124910,5830
CLAYTON,2002,5.675,118900,6780
CLAYTON,2003,6.108,115090,7020
CLAYTON,2004,6.833,114300,7800
CLAYTON,2005,6.567,114210,7510
CLAYTON,2006,5.025,116550,5840
CLAYTON,2007,4.825,117500,5670
CLAYTON,2008,5.400,120340,6480
CLAYTON,2009,8.675,119960,10410
CLAYTON,2010,7.208,125730,9080
CLAYTON,2011,6.225,124710,7760
CLAYTON,2012,5.667,122580,6940
CLAYTON,2013,5.658,121240,6830
CLAYTON,2014,5.042,122540,6130
CLAYTON,2015,4.117,123780,5100
CLAYTON,2016,4.467,118380,5270
CLAYTON,2017,4.150,116550,4820
CLAYTON,2018,3.408,116230,3960
CLAYTON,2019,3.717,116290,4320
CLAYTON,2020,5.875,109360,6450
CLAYTON,2021,4.900,109090,5350
CLAYTON,2022,4.108,108060,4470
CLAYTON,2023,3.867,108200,4210
CLAYTON,2024,3.767,108410,4070
CLAYTON,2025,4.327,100980,4370
CLINTON,2000,3.442,313920,10810
CLINTON,2001,4.458,317060,14160
